threshold,gene_precision,gene_recall,gene_f1,disease_precision,disease_recall,disease_f1
6.0,0.2222222222222222,0.8571428571428571,0.35294117647058826,0.036585365853658534,0.42857142857142855,0.06741573033707865
7.0,0.24,0.8571428571428571,0.375,0.041666666666666664,0.42857142857142855,0.0759493670886076
8.0,0.23809523809523808,0.8333333333333334,0.37037037037037035,0.03076923076923077,0.3333333333333333,0.056338028169014086
9.0,0.2,0.3333333333333333,0.25,0.0,0.0,0
None,0.1875,0.75,0.3,0.03571428571428571,0.375,0.06521739130434782
